areacode;origin;area
SPN;SPree, Neiße;Landkreis Spree-Neiße
SR;StRaubing;Stadt Straubing
SRB;StRausBerg;Landkreis Märkisch-Oderland
SRO;StadtROda;Saale-Holzland-Kreis
ST;STeinfurt;Kreis Steinfurt
STA;STArnberg;Landkreis Starnberg
STB;STernBerg;Landkreis Ludwigslust-Parchim
STD;STaDe;Landkreis Stade
STE;STaffelstEin;Landkreis Lichtenfels
STL;STolLberg;Erzgebirgskreis
SU;SiegbUrg;Rhein-Sieg-Kreis
SUL;SULzbach;Landkreis Amberg-Sulzbach
SÜW;SÜdliche Weinstraße;Landkreis Südliche Weinstraße
SW;SchWeinfurt;Landkreis Schweinfurt
SWA;SchWAlbach;Rheingau-Taunus-Kreis
SY;SYke;Landkreis Diepholz
SZ;SalZgitter;Stadt Salzgitter
SZB;SchwarZenBerg;Erzgebirgskreis
TBB;TauBerBischofsheim;Main-Tauber-Kreis
TDO;Torgau, Delitzsch, Oschatz;Landkreis Nordsachsen
TE;TEcklenburg;Kreis Steinfurt
TET;TETerow;Landkreis Rostock
TF;Teltow, Fläming;Landkreis Teltow-Fläming
TG;TorGau;Landkreis Nordsachsen
THL;THüringer Landtag;Thüringer Landtag
THW;Technisches HilfsWerk;Bundesanstalt Technisches Hilfswerk
TIR;TIRschenreuth;Landkreis Tirschenreuth
TO;Torgau, Oschatz;Landkreis Nordsachsen
TÖL;TÖLz;Landkreis Bad Tölz-Wolfratshausen
TP;TemPlin;Landkreis Uckermark
TR;TRier;Landkreis Trier-Saarburg
TS;TraunStein;Landkreis Traunstein
TÜ;TÜbingen;Landkreis Tübingen
TUT;TUTtlingen;Landkreis Tuttlingen
UE;UElzen;Landkreis Uelzen
UEM;UEckerMünde;Landkreis Vorpommern-Greifswald
UFF;UFFenheim;
UH;Unstrut, Hainich;Unstrut-Hainich-Kreis
UL;ULm;Alb-Donau-Kreis
UM;UckerMark;Landkreis Uckermark
UN;UNna;Kreis Unna
USI;USIngen;Hochtaunuskreis
V;Vogtland;Vogtlandkreis
VAI;VAIhingen;Landkreis Ludwigsburg
VB;VogelsBerg;Vogelsbergkreis
VEC;VEChta;Landkreis Vechta
VER;VERden;Landkreis Verden
VG;Vorpommern Greifswald;Landkreis Vorpommern-Greifswald
VIB;VIlsBiburg;Landkreis Landshut
VIE;VIErsen;Kreis Viersen
VIT;VIechTach;Landkreis Regen
VK;VölKlingen;Stadt Völklingen
VOH;VOHenstrauß;Landkreis Neustadt an der Waldnaab
VR;Vorpommern, Rügen;Landkreis Vorpommern-Rügen
VS;Villingen-Schwenningen;Schwarzwald-Baar-Kreis
W;Wuppertal;Stadt Wuppertal
WA;WAldeck;Landkreis Waldeck-Frankenberg
WAF;WArendorF;Kreis Warendorf
WAK;WArtburgKreis;Wartburgkreis
WAN;WANne;Stadt Herne
WAT;WATtenscheid;Stadt Bochum
WB;WittenBerg;Landkreis Wittenberg
WBS;WorBiS;Landkreis Eichsfeld
WDA;WerDAu;Landkreis Zwickau
WE;WEimar;Stadt Weimar
WEL;WEiLburg;Landkreis Limburg-Weilburg
WEN;WEideN;Stadt Weiden in der Oberpfalz
WER;WERtingen;Landkreis Dillingen an der Donau
WES;WESel;Kreis Wesel
WF;WolFenbüttel;Landkreis Wolfenbüttel
WHV;WilhelmsHaVen;Stadt Wilhelmshaven
WI;WIesbaden;Stadt Wiesbaden
WIL;WIttLich;Landkreis Bernkastel-Wittlich
WIS;WISmar;Landkreis Nordwestmecklenburg
WIT;WITten;Ennepe-Ruhr-Kreis
WIZ;WItZenhausen;Werra-Meißner-Kreis
WK;WittstocK;Landkreis Ostprignitz-Ruppin
WL;Winsen (Luhe);Landkreis Harburg
WLG;WoLGast;Landkreis Vorpommern-Greifswald
WM;WeilheiM;Landkreis Weilheim-Schongau
WMS;WolMirStedt;Landkreis Börde
WN;WaiblingeN;Rems-Murr-Kreis
WND;WeNDel;Landkreis St. Wendel
WO;WOrms;Stadt Worms
WOB;WOlfsBurg;Stadt Wolfsburg
WOH;WOlfHagen;Landkreis Kassel
WOL;WOLfach;Ortenaukreis
WOR;WOlfRatshausen;Landkreis Wolfratshausen
WOS;WOlfStein;Landkreis Freyung-Grafenau
WR;WernigeRode;Landkreis Harz
WRN;WaReN;
WS;WasSerburg;Landkreis Rosenheim
WSF;WeisSenFels;Burgenlandkreis
WST;WesterSTede;Landkreis Ammerland
WSW;WeisSWasser;Landkreis Görlitz
WT;WaldshuT;Landkreis Waldshut
WTL;WitTLage;Landkreis Osnabrück
WTM;WitTMund;Landkreis Wittmund
WÜ;WÜrzburg;Landkreis Würzburg
WUG;WeißenbUrG;Landkreis Weißenburg-Gunzenhausen
WÜM;WaldMÜnchen;Landkreis Cham
WUN;WUNsiedel;Landkreis Wunsiedel im Fichtelgebirge
WUR;WURzen;Landkreis Leipzig
WW;WesterWald;Westerwaldkreis
WZ;WetZlar;Stadt Wetzlar
WZL;WanZLeben;Landkreis Börde
Y;;Bundeswehr
Z;Zwickau;Landkreis Zwickau
ZE;ZErbst;Landkreis Anhalt-Bitterfeld
ZEL;ZELl;Landkreis Cochem-Zell
ZI;ZIttau;Landkreis Görlitz
ZIG;ZIeGenhain;Schwalm-Eder-Kreis
ZP;ZschoPau;Erzgebirgskreis
ZR;ZeulenRoda;Landkreis Greiz
ZW;ZWeibrücken;Stadt Zweibrücken
ZZ;ZeitZ;Burgenlandkreis
